annotation_set,unit_key,work_code,work_name,representation,classification,drift_value,drift_quantile_bin,text_raw_left,text_raw_right,text_norm_left,text_norm_right,drift_r0,drift_r1,drift_r2,delta_representation_left,delta_representation_right,delta_value,category_labels
INLIER_BACKGROUND,1SA:3:19,1SA,1Samuel,R0,INLIER,0.0214145870573101,Q1,"¶ And Samuel grew, and the Lord was with him, and did let none of his words fall to the ground.","And Samuel grew, and the LORD was with him, and did let none of his words fall to the ground.","¶ and samuel grew, and the lord was with him, and did let none of his words fall to the ground.","and samuel grew, and the lord was with him, and did let none of his words fall to the ground.",0.02141458705731014,0.02141458705731014,,R0,R1,0.0,
INLIER_BACKGROUND,1SA:12:16,1SA,1Samuel,R0,INLIER,0.0521292789078065,Q2,¶ Now therefore stand and see this great thing which the Lord will doe before your eyes.,"Now therefore stand and see this great thing, which the LORD will do before your eyes.",¶ now therefore stand and see this great thing which the lord will doe before your eyes.,"now therefore stand and see this great thing, which the lord will do before your eyes.",0.0521292789078065,0.0521292789078065,,R0,R1,0.0,
INLIER_BACKGROUND,1SA:14:47,1SA,1Samuel,R0,INLIER,0.0520262330901517,Q2,"¶ So Saul tooke the kingdom ouer Israel, and fought against all his enemies on euery side, against Moab, and against the children of Ammon, and against Edom, and against the kings of Zobah, and against the Philistines: and whithersoeuer hee turned himselfe, he vexed them.","So Saul took the kingdom over Israel, and fought against all his enemies on every side, against Moab, and against the children of Ammon, and against Edom, and against the kings of Zobah, and against the Philistines: and whithersoever he turned himself, he vexed them.","¶ so saul tooke the kingdom ouer israel, and fought against all his enemies on euery side, against moab, and against the children of ammon, and against edom, and against the kings of zobah, and against the philistines: and whithersoeuer hee turned himselfe, he vexed them.","so saul took the kingdom over israel, and fought against all his enemies on every side, against moab, and against the children of ammon, and against edom, and against the kings of zobah, and against the philistines: and whithersoever he turned himself, he vexed them.",0.05202623309015175,0.05202623309015175,,R0,R1,0.0,
INLIER_BACKGROUND,1SA:2:12,1SA,1Samuel,R0,INLIER,0.0749596535416275,Q3,"¶ Now the sonnes of Eli were sonnes of Belial, they knewe not the Lord.",Now the sons of Eli were sons of Belial; they knew not the LORD.,"¶ now the sonnes of eli were sonnes of belial, they knewe not the lord.",now the sons of eli were sons of belial; they knew not the lord.,0.07495965354162759,0.07495965354162759,,R0,R1,0.0,
INLIER_BACKGROUND,1SA:4:5,1SA,1Samuel,R0,INLIER,0.0594062713183005,Q3,"And when the Arke of the Couenant of the Lord came into the campe, all Israel shouted with a great shout, so that the earth rang againe.","And when the ark of the covenant of the LORD came into the camp, all Israel shouted with a great shout, so that the earth rang again.","and when the arke of the couenant of the lord came into the campe, all israel shouted with a great shout, so that the earth rang againe.","and when the ark of the covenant of the lord came into the camp, all israel shouted with a great shout, so that the earth rang again.",0.05940627131830056,0.05940627131830056,,R0,R1,0.0,
INLIER_BACKGROUND,1SA:18:28,1SA,1Samuel,R0,INLIER,0.126524387385908,Q4,"¶ And Saul saw and knew that the Lord was with Dauid, and that Michal Sauls daughter loued him.","And Saul saw and knew that the LORD was with David, and that Michal Saul’s daughter loved him.","¶ and saul saw and knew that the lord was with dauid, and that michal sauls daughter loued him.","and saul saw and knew that the lord was with david, and that michal saul’s daughter loved him.",0.126524387385908,0.126524387385908,,R0,R1,0.0,
INLIER_BACKGROUND,1SA:28:19,1SA,1Samuel,R0,INLIER,0.0980816408116045,Q4,"Moreouer, the Lord will also deliuer Israel with thee, into the hand of the Philistines: and to morrow shalt thou and thy sonnes bee with mee: the Lord also shall deliuer the hoste of Israel into the hand of the Philistines.",Moreover the LORD will also deliver Israel with thee into the hand of the Philistines: and to morrow shalt thou and thy sons be with me: the LORD also shall deliver the host of Israel into the hand of the Philistines.,"moreouer, the lord will also deliuer israel with thee, into the hand of the philistines: and to morrow shalt thou and thy sonnes bee with mee: the lord also shall deliuer the hoste of israel into the hand of the philistines.",moreover the lord will also deliver israel with thee into the hand of the philistines: and to morrow shalt thou and thy sons be with me: the lord also shall deliver the host of israel into the hand of the philistines.,0.09808164081160453,0.09808164081160453,,R0,R1,0.0,
INLIER_BACKGROUND,1TH:1:4,1TH,1Thessalonians,R0,INLIER,0.0247631982319765,Q1,"Knowing, brethren beloued, your election of God.","Knowing, brethren beloved, your election of God.","knowing, brethren beloued, your election of god.","knowing, brethren beloved, your election of god.",0.02476319823197659,0.02476319823197659,,R0,R1,0.0,
INLIER_BACKGROUND,1TH:2:12,1TH,1Thessalonians,R0,INLIER,0.0260780048113663,Q1,"That ye would walke worthy of God, who hath called you vnto his kingdome and glory.","That ye would walk worthy of God, who hath called you unto his kingdom and glory.","that ye would walke worthy of god, who hath called you vnto his kingdome and glory.","that ye would walk worthy of god, who hath called you unto his kingdom and glory.",0.02607800481136635,0.02607800481136635,,R0,R1,0.0,
INLIER_BACKGROUND,1TH:1:1,1TH,1Thessalonians,R0,INLIER,0.0469452256282645,Q2,"Paul and Siluanus, and Timotheus, vnto the Church of the Thessalonians, which is in God the Father, and in the Lord Iesus Christ: grace be vnto you, and peace from God our Father, and the Lord Iesus Christ.","Paul, and Silvanus, and Timotheus, unto the church of the Thessalonians which is in God the Father and in the Lord Jesus Christ: Grace be unto you, and peace, from God our Father, and the Lord Jesus Christ.","paul and siluanus, and timotheus, vnto the church of the thessalonians, which is in god the father, and in the lord iesus christ: grace be vnto you, and peace from god our father, and the lord iesus christ.","paul, and silvanus, and timotheus, unto the church of the thessalonians which is in god the father and in the lord jesus christ: grace be unto you, and peace, from god our father, and the lord jesus christ.",0.04694522562826453,0.04694522562826453,,R0,R1,0.0,
