representation,null_model,scope_type,scope_name,n_observed,iterations_used,observed_median,null_median,null_mean,null_std,null_min,null_max,p_value_perm
R1,WORK,WORK,2CO,257,5000,0.05616683804415867,0.4636678099632263,0.4638142431378365,0.005440216901733658,0.44356101751327515,0.48364365100860596,0.0001999600079984003
R1,WORK,WORK,2KI,719,5000,0.059807846315606095,0.44607028365135193,0.44609012216329574,0.003120344992038784,0.43494856357574463,0.4583050012588501,0.0001999600079984003
R1,WORK,WORK,2PE,61,5000,0.06666334750428193,0.4768638014793396,0.47667008973360064,0.013134352211471507,0.4299831986427307,0.5202049016952515,0.0001999600079984003
R1,WORK,WORK,2SA,695,5000,0.07802694030987867,0.4607963562011719,0.460770533311367,0.0032859684793489943,0.4484561085700989,0.47340744733810425,0.0001999600079984003
R1,WORK,WORK,2TH,47,5000,0.06854822066021093,0.44662439823150635,0.44743609125614164,0.014264969452248132,0.39194393157958984,0.4946192502975464,0.0001999600079984003
R1,WORK,WORK,2TI,83,5000,0.05765182162348281,0.4816305637359619,0.4817879699707031,0.01240730846185633,0.439980149269104,0.5270900726318359,0.0001999600079984003
R1,WORK,WORK,ACT,1007,5000,0.054692006677398486,0.48864662647247314,0.48867722877264025,0.0029383760343854896,0.47854840755462646,0.5004165768623352,0.0001999600079984003
R1,WORK,WORK,AMO,146,5000,0.05849756095268982,0.4524611085653305,0.452376413744688,0.0077772947952179485,0.424279123544693,0.4802069067955017,0.0001999600079984003
R1,WORK,WORK,COL,95,5000,0.048019912270228504,0.4539507031440735,0.45396909693479537,0.009521469906645852,0.4221142530441284,0.4842613935470581,0.0001999600079984003
R1,WORK,WORK,DAN,357,5000,0.049481360093336146,0.4716300070285797,0.47171510473489764,0.004597634131097916,0.45554137229919434,0.4916386604309082,0.0001999600079984003
R1,WORK,WORK,DEU,959,5000,0.0522215391599139,0.4520711302757263,0.4520793454408646,0.0029883609329472037,0.44220662117004395,0.46444249153137207,0.0001999600079984003
R1,WORK,WORK,ECC,222,5000,0.07150933614493132,0.49966493248939514,0.49979746109843254,0.005752097587258891,0.47942060232162476,0.5194388628005981,0.0001999600079984003
R1,WORK,WORK,EPH,155,5000,0.05743596089950953,0.4445474147796631,0.444680465567112,0.0069299999401196575,0.41871774196624756,0.4718140959739685,0.0001999600079984003
R1,WORK,WORK,EST,167,5000,0.052476763686392425,0.43821796774864197,0.4381487490653992,0.007756894110229638,0.4016460180282593,0.4689829349517822,0.0001999600079984003
R1,WORK,WORK,EXO,1213,5000,0.05166435828552185,0.4950070381164551,0.49502496852874756,0.003284075627536129,0.4834017753601074,0.5082750916481018,0.0001999600079984003
R1,WORK,WORK,EZE,1273,5000,0.05226969370388279,0.48644813895225525,0.4864500221610069,0.0030603021460410542,0.4758867025375366,0.49798524379730225,0.0001999600079984003
R1,WORK,WORK,EZR,280,5000,0.06984769505440602,0.4612576365470886,0.4612799032211304,0.00615012445200378,0.4397861957550049,0.4813491404056549,0.0001999600079984003
R1,WORK,WORK,GAL,149,5000,0.05863426824524842,0.48112839460372925,0.4811808374762535,0.00767836673790668,0.4554818868637085,0.5089965462684631,0.0001999600079984003
R1,WORK,WORK,GEN,1533,5000,0.06608136346918425,0.4889225959777832,0.4889238033056259,0.002232498552660197,0.48102807998657227,0.49707627296447754,0.0001999600079984003
R1,WORK,WORK,HAB,56,5000,0.05503171687069841,0.4851299226284027,0.48507587324380874,0.012308274563811717,0.436053067445755,0.5342296361923218,0.0001999600079984003
R1,WORK,WORK,HAG,38,5000,0.07046004938006295,0.4553457051515579,0.45631117876172067,0.020317766966766553,0.3818051815032959,0.5359006524085999,0.0001999600079984003
R1,WORK,WORK,HEB,303,5000,0.05511672530311007,0.4710524082183838,0.4710808746933937,0.004904494745877717,0.45380914211273193,0.49008870124816895,0.0001999600079984003
R1,WORK,WORK,HOS,197,5000,0.052779998627914604,0.47889119386672974,0.4789994513511658,0.006698405738722775,0.45619404315948486,0.5022245645523071,0.0001999600079984003
R1,WORK,WORK,ISA,1292,5000,0.05629397074559894,0.487094983458519,0.4871617856323719,0.00260616167371571,0.477992981672287,0.4973164200782776,0.0001999600079984003
R1,WORK,WORK,JAS,108,5000,0.05795030251984257,0.48140765726566315,0.4815034629166126,0.009125663783575735,0.44089949131011963,0.5129095315933228,0.0001999600079984003
R1,WORK,WORK,JDG,618,5000,0.057880563095976334,0.4538875073194504,0.45390535718798636,0.003487448888888322,0.4419439733028412,0.4659966230392456,0.0001999600079984003
R1,WORK,WORK,JER,1364,5000,0.0621951622231654,0.45961032807826996,0.45959940868616106,0.002544970235207882,0.4507927894592285,0.4702566862106323,0.0001999600079984003
R1,WORK,WORK,JHN,879,5000,0.06796042197690433,0.47843223810195923,0.4783922503232956,0.0030721694333191055,0.4672551155090332,0.49028146266937256,0.0001999600079984003
R1,WORK,WORK,JOB,1070,5000,0.05155904586169052,0.5330277979373932,0.5329692224740982,0.0029107690383365424,0.5234977006912231,0.5441429018974304,0.0001999600079984003
R1,WORK,WORK,JOE,73,5000,0.05819311630209245,0.5053383708000183,0.5050168074965476,0.013060283507382706,0.4591721296310425,0.5539845824241638,0.0001999600079984003
R1,WORK,WORK,JON,48,5000,0.1001872033039009,0.4591798037290573,0.4594027082145214,0.011874683410235001,0.40823572874069214,0.5150322318077087,0.0001999600079984003
R1,WORK,WORK,JOS,658,5000,0.0680885098018254,0.4585990458726883,0.4586204356312752,0.003654152842188319,0.44512853026390076,0.4718850553035736,0.0001999600079984003
R1,WORK,WORK,JUD,25,5000,0.06457264371899851,0.4957028031349182,0.49628670181035994,0.02534710312007331,0.4097621440887451,0.5805922150611877,0.0001999600079984003
R1,WORK,WORK,LAM,154,5000,0.0549752501082309,0.5065769255161285,0.5063904254674911,0.008484667807938079,0.4778462052345276,0.536558985710144,0.0001999600079984003
R1,WORK,WORK,LEV,859,5000,0.04971811733256992,0.46527987718582153,0.46535056364536287,0.0032425682581242047,0.45302814245224,0.476734459400177,0.0001999600079984003
R1,WORK,WORK,LUK,1151,5000,0.06500957333113133,0.49887025356292725,0.4989104066371918,0.0026875616430040526,0.4890623688697815,0.5087316036224365,0.0001999600079984003
R1,WORK,WORK,MAL,55,5000,0.07516091016963333,0.416980504989624,0.41698503910303114,0.009756239119434485,0.3818148374557495,0.4548308849334717,0.0001999600079984003
R1,WORK,WORK,MAT,1071,5000,0.06780675145470894,0.5022865533828735,0.5022557841181755,0.0026935725206214244,0.49123769998550415,0.513231098651886,0.0001999600079984003
R1,WORK,WORK,MIC,105,5000,0.05799056263466218,0.46405136585235596,0.464121651160717,0.008869884647024517,0.42907559871673584,0.49442052841186523,0.0001999600079984003
R1,WORK,WORK,MRK,678,5000,0.06327463314875148,0.5049415826797485,0.504990168440342,0.0036019285906552447,0.4932022988796234,0.5197853446006775,0.0001999600079984003
