representation,null_model,scope_type,scope_name,median_null,median_observed,sgi,sgi_norm
R1,WORK,WORK,JON,0.4591798037290573,0.1001872033039009,0.3589926004251564,0.7818126962678499
R1,WORK,WORK,JOS,0.4585990458726883,0.0680885098018254,0.3905105360708629,0.8515293252033336
R1,WORK,WORK,JUD,0.4957028031349182,0.06457264371899851,0.4311301594159197,0.8697351652832526
R1,WORK,WORK,LAM,0.5065769255161285,0.0549752501082309,0.45160167540789764,0.8914769952219614
R1,WORK,WORK,LEV,0.46527987718582153,0.04971811733256992,0.4155617598532516,0.8931436329606971
R1,WORK,WORK,LUK,0.49887025356292725,0.06500957333113133,0.4338606802317959,0.8696864107113352
R1,WORK,WORK,MAL,0.416980504989624,0.07516091016963333,0.3418195948199907,0.8197495823659583
R1,WORK,WORK,MAT,0.5022865533828735,0.06780675145470894,0.4344798019281646,0.8650038489025158
R1,WORK,WORK,MIC,0.46405136585235596,0.05799056263466218,0.4060608032176938,0.8750341731498908
R1,WORK,WORK,MRK,0.5049415826797485,0.06327463314875148,0.44166694953099706,0.874689201049852
R1,WORK,WORK,NAH,0.5111658573150635,0.05303248785635262,0.45813336945871086,0.8962518973099853
R1,WORK,WORK,NEH,0.4793570786714554,0.06496140356040359,0.4143956751110518,0.8644822274442155
R1,WORK,WORK,NUM,0.47922079265117645,0.05458779219694121,0.42463300045423524,0.8860905181201612
R1,WORK,WORK,OBA,0.4393194317817688,0.07561436731644167,0.36370506446532713,0.8278829438302584
R1,WORK,WORK,PHM,0.3993467688560486,0.06737675955975486,0.3319700092962937,0.8312825724050319
R1,WORK,WORK,PHP,0.4357447475194931,0.04855786026805364,0.38718688725143946,0.888563521317302
R1,WORK,WORK,PRO,0.5024887323379517,0.0544721321861531,0.44801660015179856,0.8915953161124466
R1,WORK,WORK,PSA,0.484835147857666,0.053897785221679095,0.4309373626359869,0.8888327600425908
R1,WORK,WORK,REV,0.4984823912382126,0.05078898631683265,0.44769340492137993,0.8981127774831231
R1,WORK,WORK,ROM,0.4644153118133545,0.055315436203204116,0.4090998756101504,0.880892307389221
R1,WORK,WORK,RUT,0.44669878482818604,0.05115913343034306,0.395539651397843,0.8854728618748752
R1,WORK,WORK,SNG,0.5147842764854431,0.06793377033221648,0.44685050615322663,0.8680344885511718
R1,WORK,WORK,TIT,0.4603297859430313,0.052521885669503,0.4078079002735283,0.8859037862129502
R1,WORK,WORK,ZEC,0.46544185280799866,0.061953613495860926,0.40348823931213773,0.8668929037599512
R1,WORK,WORK,ZEP,0.4575822353363037,0.057799863869099966,0.39978237146720375,0.873684204924128
R1,WORK_GROUP,WORK_GROUP,NT_SHARED,0.5006192624568939,0.060094775867548966,0.44052448658934495,0.8799591218831228
R1,WORK_GROUP,WORK_GROUP,OT_SHARED,0.5039069354534149,0.05886522499131441,0.4450417104621005,0.8831823480691975
R1,CANON,CANON,ALL_SHARED,0.5083830952644348,0.05915852562468393,0.4492245696397509,0.8836339638832548
