scope_type,scope_name,representation,n,median_drift,mad_drift,p95_drift,p99_drift,threshold_primary,threshold_secondary,threshold_source,small_sample_flag,mad_zero_flag,percentile_method
WORK,2TH,R1,47,0.0685482206602109,0.0306017054413613,0.1673174954497634,0.2457712304888089,0.16035333698429483,0.14505248426361417,WORK,True,False,HF_TYPE_7
WORK,2TI,R0,83,0.0576518216234828,0.0271746055480684,0.146743089583669,0.2290126881330892,0.2290126881330892,0.146743089583669,WORK,False,False,HF_TYPE_7
WORK,2TI,R1,83,0.0576518216234828,0.0271746055480684,0.146743089583669,0.2290126881330892,0.2290126881330892,0.146743089583669,WORK,False,False,HF_TYPE_7
WORK,3JN,R0,14,0.0627242387435204,0.030307874275298,0.1445192229280767,0.160383179243269,0.1536478615694144,0.1384939244317654,WORK,True,False,HF_TYPE_7
WORK,3JN,R1,14,0.0627242387435204,0.030307874275298,0.1445192229280767,0.160383179243269,0.1536478615694144,0.1384939244317654,WORK,True,False,HF_TYPE_7
WORK,ACT,R0,1007,0.0546920066773984,0.0310626678453598,0.1622007514290091,0.2407747958049971,0.2407747958049971,0.1622007514290091,WORK,False,False,HF_TYPE_7
WORK,ACT,R1,1007,0.0546920066773984,0.0310626678453598,0.1622007514290091,0.2407747958049971,0.2407747958049971,0.1622007514290091,WORK,False,False,HF_TYPE_7
WORK,AMO,R0,146,0.0584975609526898,0.0269465630580189,0.1634155251031349,0.2309942136095671,0.2309942136095671,0.1634155251031349,WORK,False,False,HF_TYPE_7
WORK,AMO,R1,146,0.0584975609526898,0.0269465630580189,0.1634155251031349,0.2309942136095671,0.2309942136095671,0.1634155251031349,WORK,False,False,HF_TYPE_7
WORK,COL,R0,95,0.0480199122702285,0.0259857900174858,0.138006481036082,0.2730871053769968,0.2730871053769968,0.138006481036082,WORK,False,False,HF_TYPE_7
WORK,COL,R1,95,0.0480199122702285,0.0259857900174858,0.138006481036082,0.2730871053769968,0.2730871053769968,0.138006481036082,WORK,False,False,HF_TYPE_7
WORK,DAN,R0,357,0.0494813600933361,0.0218814719999128,0.1564706148641274,0.2230599517621362,0.2230599517621362,0.1564706148641274,WORK,False,False,HF_TYPE_7
WORK,DAN,R1,357,0.0494813600933361,0.0218814719999128,0.1564706148641274,0.2230599517621362,0.2230599517621362,0.1564706148641274,WORK,False,False,HF_TYPE_7
WORK,DEU,R0,959,0.0522215391599139,0.0274858499421052,0.158268997269363,0.2277736606676687,0.2277736606676687,0.158268997269363,WORK,False,False,HF_TYPE_7
WORK,DEU,R1,959,0.0522215391599139,0.0274858499421052,0.158268997269363,0.2277736606676687,0.2277736606676687,0.158268997269363,WORK,False,False,HF_TYPE_7
WORK,ECC,R0,222,0.0715093361449313,0.0382861068110014,0.1879518236166134,0.2462926441161754,0.2462926441161754,0.1879518236166134,WORK,False,False,HF_TYPE_7
WORK,ECC,R1,222,0.0715093361449313,0.0382861068110014,0.1879518236166134,0.2462926441161754,0.2462926441161754,0.1879518236166134,WORK,False,False,HF_TYPE_7
WORK,EPH,R0,155,0.0574359608995095,0.0298542211601555,0.2029310592154672,0.3000571320932129,0.3000571320932129,0.2029310592154672,WORK,False,False,HF_TYPE_7
WORK,EPH,R1,155,0.0574359608995095,0.0298542211601555,0.2029310592154672,0.3000571320932129,0.3000571320932129,0.2029310592154672,WORK,False,False,HF_TYPE_7
WORK,EST,R0,167,0.0524767636863924,0.0257110041077228,0.155955053094019,0.2106098417089447,0.2106098417089447,0.155955053094019,WORK,False,False,HF_TYPE_7
WORK,EST,R1,167,0.0524767636863924,0.0257110041077228,0.155955053094019,0.2106098417089447,0.2106098417089447,0.155955053094019,WORK,False,False,HF_TYPE_7
WORK,EXO,R0,1213,0.0516643582855218,0.0263913901164832,0.1458137712888438,0.2061688329235183,0.2061688329235183,0.1458137712888438,WORK,False,False,HF_TYPE_7
WORK,EXO,R1,1213,0.0516643582855218,0.0263913901164832,0.1458137712888438,0.2061688329235183,0.2061688329235183,0.1458137712888438,WORK,False,False,HF_TYPE_7
WORK,EZE,R0,1273,0.0522696937038827,0.0257866525301802,0.1466200453576744,0.1977293149575067,0.1977293149575067,0.1466200453576744,WORK,False,False,HF_TYPE_7
WORK,EZE,R1,1273,0.0522696937038827,0.0257866525301802,0.1466200453576744,0.1977293149575067,0.1977293149575067,0.1466200453576744,WORK,False,False,HF_TYPE_7
WORK,EZR,R0,280,0.069847695054406,0.0341039274972749,0.1937090361219623,0.2643609161924914,0.2643609161924914,0.1937090361219623,WORK,False,False,HF_TYPE_7
WORK,EZR,R1,280,0.069847695054406,0.0341039274972749,0.1937090361219623,0.2643609161924914,0.2643609161924914,0.1937090361219623,WORK,False,False,HF_TYPE_7
WORK,GAL,R0,149,0.0586342682452484,0.0270190233009658,0.1651665865211423,0.2616443134323326,0.2616443134323326,0.1651665865211423,WORK,False,False,HF_TYPE_7
WORK,GAL,R1,149,0.0586342682452484,0.0270190233009658,0.1651665865211423,0.2616443134323326,0.2616443134323326,0.1651665865211423,WORK,False,False,HF_TYPE_7
WORK,GEN,R0,1533,0.0660813634691842,0.0353550591734632,0.1976616792286194,0.2785225450278982,0.2785225450278982,0.1976616792286194,WORK,False,False,HF_TYPE_7
WORK,GEN,R1,1533,0.0660813634691842,0.0353550591734632,0.1976616792286194,0.2785225450278982,0.2785225450278982,0.1976616792286194,WORK,False,False,HF_TYPE_7
WORK,HAB,R0,56,0.0550317168706984,0.0329039208986557,0.1570031566278392,0.1781731462477294,0.1781731462477294,0.1570031566278392,WORK,False,False,HF_TYPE_7
WORK,HAB,R1,56,0.0550317168706984,0.0329039208986557,0.1570031566278392,0.1781731462477294,0.1781731462477294,0.1570031566278392,WORK,False,False,HF_TYPE_7
WORK,HAG,R0,38,0.0704600493800629,0.0340025777624696,0.1370613850880875,0.1618333379932237,0.1724677826674717,0.1554664937862369,WORK,True,False,HF_TYPE_7
