rank_overall,rank_within_representation,rank_within_classification,rank_within_work,unit_key,work_code,work_name,representation,classification,drift_value,threshold_primary,threshold_secondary,threshold_source,excess_over_primary,excess_over_secondary,drift_to_primary_ratio,drift_to_secondary_ratio,small_sample_flag,mad_zero_flag
88,44,44,3,JOB:21:25,JOB,Job,R1,STRONG_OUTLIER,0.3244934443815159,0.2593421210617336,0.1879247125578857,WORK,0.0651513233197823,0.1365687318236302,1.251217669744722,1.7267204507845846,False,False
89,45,45,1,1SA:18:3,1SA,1Samuel,R0,STRONG_OUTLIER,0.3243416904310806,0.2543100235259803,0.1939952732916444,WORK,0.07003166690510026,0.13034641713943618,1.2753791059200852,1.671905118757604,False,False
90,45,45,1,1SA:18:3,1SA,1Samuel,R1,STRONG_OUTLIER,0.3243416904310806,0.2543100235259803,0.1939952732916444,WORK,0.07003166690510026,0.13034641713943618,1.2753791059200852,1.671905118757604,False,False
91,46,46,3,1CH:12:36,1CH,1Chronicles,R0,STRONG_OUTLIER,0.3224632275056176,0.2568844066016262,0.1958660090019126,WORK,0.06557882090399142,0.12659721850370503,1.2552853315292525,1.6463460359907003,False,False
92,46,46,3,1CH:12:36,1CH,1Chronicles,R1,STRONG_OUTLIER,0.3224632275056176,0.2568844066016262,0.1958660090019126,WORK,0.06557882090399142,0.12659721850370503,1.2552853315292525,1.6463460359907003,False,False
93,47,47,4,JOB:8:3,JOB,Job,R0,STRONG_OUTLIER,0.3213954509755868,0.2593421210617336,0.1879247125578857,WORK,0.062053329913853206,0.1334707384177011,1.239272084533781,1.7102351606715303,False,False
94,47,47,4,JOB:8:3,JOB,Job,R1,STRONG_OUTLIER,0.3213954509755868,0.2593421210617336,0.1879247125578857,WORK,0.062053329913853206,0.1334707384177011,1.239272084533781,1.7102351606715303,False,False
95,48,48,2,JOS:5:13,JOS,Joshua,R0,STRONG_OUTLIER,0.3207874335203337,0.2547743068240014,0.2047369488266913,WORK,0.0660131266963323,0.11605048469364238,1.2591043324550553,1.5668272647350943,False,False
96,48,48,2,JOS:5:13,JOS,Joshua,R1,STRONG_OUTLIER,0.3207874335203337,0.2547743068240014,0.2047369488266913,WORK,0.0660131266963323,0.11605048469364238,1.2591043324550553,1.5668272647350943,False,False
97,49,49,3,LUK:10:17,LUK,Luke,R0,STRONG_OUTLIER,0.3204085585141106,0.2425750004264786,0.1904093970791806,WORK,0.07783355808763201,0.12999916143493,1.3208638893158422,1.6827350090335649,False,False
98,49,49,3,LUK:10:17,LUK,Luke,R1,STRONG_OUTLIER,0.3204085585141106,0.2425750004264786,0.1904093970791806,WORK,0.07783355808763201,0.12999916143493,1.3208638893158422,1.6827350090335649,False,False
99,50,50,5,PSA:85:7,PSA,Psalms,R0,STRONG_OUTLIER,0.3182243845334284,0.2517472342683223,0.1720894079000068,WORK,0.06647715026510609,0.1461349766334216,1.2640630808052973,1.849180541770089,False,False
100,50,50,5,PSA:85:7,PSA,Psalms,R1,STRONG_OUTLIER,0.3182243845334284,0.2517472342683223,0.1720894079000068,WORK,0.06647715026510609,0.1461349766334216,1.2640630808052973,1.849180541770089,False,False
101,51,51,6,PSA:58:5,PSA,Psalms,R0,STRONG_OUTLIER,0.317675378476926,0.2517472342683223,0.1720894079000068,WORK,0.06592814420860371,0.14558597057691922,1.261882297933549,1.845990304420784,False,False
102,51,51,6,PSA:58:5,PSA,Psalms,R1,STRONG_OUTLIER,0.317675378476926,0.2517472342683223,0.1720894079000068,WORK,0.06592814420860371,0.14558597057691922,1.261882297933549,1.845990304420784,False,False
103,52,52,5,JOB:28:12,JOB,Job,R0,STRONG_OUTLIER,0.3175139013798499,0.2593421210617336,0.1879247125578857,WORK,0.05817178031811632,0.1295891888219642,1.224305176806467,1.6895803487369836,False,False
104,52,52,5,JOB:28:12,JOB,Job,R1,STRONG_OUTLIER,0.3175139013798499,0.2593421210617336,0.1879247125578857,WORK,0.05817178031811632,0.1295891888219642,1.224305176806467,1.6895803487369836,False,False
105,53,53,8,GEN:31:17,GEN,Genesis,R0,STRONG_OUTLIER,0.3175015088869007,0.2785225450278982,0.1976616792286194,WORK,0.03897896385900251,0.1198398296582813,1.1399490438201265,1.6062876230028997,False,False
106,53,53,8,GEN:31:17,GEN,Genesis,R1,STRONG_OUTLIER,0.3175015088869007,0.2785225450278982,0.1976616792286194,WORK,0.03897896385900251,0.1198398296582813,1.1399490438201265,1.6062876230028997,False,False
107,54,54,1,EXO:1:5,EXO,Exodus,R0,STRONG_OUTLIER,0.3164479492117608,0.2061688329235183,0.1458137712888438,WORK,0.11027911628824247,0.170634177922917,1.534897126420424,2.170219907315244,False,False
108,54,54,1,EXO:1:5,EXO,Exodus,R1,STRONG_OUTLIER,0.3164479492117608,0.2061688329235183,0.1458137712888438,WORK,0.11027911628824247,0.170634177922917,1.534897126420424,2.170219907315244,False,False
109,55,55,2,ACT:2:5,ACT,Acts,R0,STRONG_OUTLIER,0.3163598546409195,0.2407747958049971,0.1622007514290091,WORK,0.07558505883592237,0.15415910321191037,1.3139242983602757,1.9504216340167921,False,False
110,55,55,2,ACT:2:5,ACT,Acts,R1,STRONG_OUTLIER,0.3163598546409195,0.2407747958049971,0.1622007514290091,WORK,0.07558505883592237,0.15415910321191037,1.3139242983602757,1.9504216340167921,False,False
111,56,56,3,ACT:10:16,ACT,Acts,R0,STRONG_OUTLIER,0.315719447061681,0.2407747958049971,0.1622007514290091,WORK,0.07494465125668387,0.15351869563267187,1.3112645200512654,1.946473393496348,False,False
112,56,56,3,ACT:10:16,ACT,Acts,R1,STRONG_OUTLIER,0.315719447061681,0.2407747958049971,0.1622007514290091,WORK,0.07494465125668387,0.15351869563267187,1.3112645200512654,1.946473393496348,False,False
113,57,57,2,1SA:20:16,1SA,1Samuel,R0,STRONG_OUTLIER,0.3148948527330172,0.2543100235259803,0.1939952732916444,WORK,0.060584829207036894,0.1208995794413728,1.238232171768281,1.623208892618829,False,False
114,57,57,2,1SA:20:16,1SA,1Samuel,R1,STRONG_OUTLIER,0.3148948527330172,0.2543100235259803,0.1939952732916444,WORK,0.060584829207036894,0.1208995794413728,1.238232171768281,1.623208892618829,False,False
115,58,58,7,PSA:89:2,PSA,Psalms,R0,STRONG_OUTLIER,0.3132818970753648,0.2517472342683223,0.1720894079000068,WORK,0.061534662807042506,0.141192489175358,1.244430342942542,1.8204600788527232,False,False
116,58,58,7,PSA:89:2,PSA,Psalms,R1,STRONG_OUTLIER,0.3132818970753648,0.2517472342683223,0.1720894079000068,WORK,0.061534662807042506,0.141192489175358,1.244430342942542,1.8204600788527232,False,False
117,59,59,8,PSA:90:15,PSA,Psalms,R0,STRONG_OUTLIER,0.3114601342304213,0.2517472342683223,0.1720894079000068,WORK,0.059712899962099,0.1393707263304145,1.2371938668388889,1.8098739372233554,False,False
118,59,59,8,PSA:90:15,PSA,Psalms,R1,STRONG_OUTLIER,0.3114601342304213,0.2517472342683223,0.1720894079000068,WORK,0.059712899962099,0.1393707263304145,1.2371938668388889,1.8098739372233554,False,False
119,60,60,9,PSA:44:17,PSA,Psalms,R0,STRONG_OUTLIER,0.3109988927107306,0.2517472342683223,0.1720894079000068,WORK,0.05925165844240832,0.13890948481072382,1.2353617056195958,1.8071936937073878,False,False
120,60,60,9,PSA:44:17,PSA,Psalms,R1,STRONG_OUTLIER,0.3109988927107306,0.2517472342683223,0.1720894079000068,WORK,0.05925165844240832,0.13890948481072382,1.2353617056195958,1.8071936937073878,False,False
121,61,61,2,2SA:6:14,2SA,2Samuel,R0,STRONG_OUTLIER,0.3109068398949275,0.2628056201398644,0.2042033708550034,WORK,0.048101219755063096,0.10670346903992411,1.1830296465100851,1.5225352970088333,False,False
