scope_type,scope_name,representation,n,median_drift,mad_drift,p95_drift,p99_drift,mean_drift,std_drift,min_drift,max_drift,cssi,tsi_p95,tsi_p99
WORK,EZE,R0,1273,0.05226969370388279,0.0257866525301802,0.14662004535767445,0.19772931495750676,0.06092620859869774,0.04274454411682132,0.0,0.25368985419308065,0.9477303062961172,0.8533799546423255,0.8022706850424932
WORK,EZE,R1,1273,0.05226969370388279,0.0257866525301802,0.14662004535767445,0.19772931495750676,0.06092620859869774,0.04274454411682132,0.0,0.25368985419308065,0.9477303062961172,0.8533799546423255,0.8022706850424932
WORK,EZR,R0,280,0.06984769505440602,0.03410392749727498,0.19370903612196233,0.2643609161924914,0.08139114916056932,0.05812858006050005,0.0,0.35317736232263364,0.930152304945594,0.8062909638780377,0.7356390838075086
WORK,EZR,R1,280,0.06984769505440602,0.03410392749727498,0.19370903612196233,0.2643609161924914,0.08139114916056932,0.05812858006050005,0.0,0.35317736232263364,0.930152304945594,0.8062909638780377,0.7356390838075086
WORK,GAL,R0,149,0.05863426824524842,0.02701902330096584,0.16516658652114236,0.2616443134323326,0.06837943446559501,0.05137662968530716,0.0,0.30735069272254767,0.9413657317547516,0.8348334134788576,0.7383556865676675
WORK,GAL,R1,149,0.05863426824524842,0.02701902330096584,0.16516658652114236,0.2616443134323326,0.06837943446559501,0.05137662968530716,0.0,0.30735069272254767,0.9413657317547516,0.8348334134788576,0.7383556865676675
WORK,GEN,R0,1533,0.06608136346918425,0.035355059173463266,0.19766167922861946,0.2785225450278982,0.08013665543835827,0.061206411603479983,0.0,0.3990176275411603,0.9339186365308157,0.8023383207713806,0.7214774549721018
WORK,GEN,R1,1533,0.06608136346918425,0.035355059173463266,0.19766167922861946,0.2785225450278982,0.08013665543835827,0.061206411603479983,0.0,0.3990176275411603,0.9339186365308157,0.8023383207713806,0.7214774549721018
WORK,HAB,R0,56,0.05503171687069841,0.032903920898655736,0.15700315662783926,0.1781731462477294,0.06730329144055545,0.046399307820156346,1.1102230246251565e-16,0.19204714291179892,0.9449682831293016,0.8429968433721607,0.8218268537522706
WORK,HAB,R1,56,0.05503171687069841,0.032903920898655736,0.15700315662783926,0.1781731462477294,0.06730329144055545,0.046399307820156346,1.1102230246251565e-16,0.19204714291179892,0.9449682831293016,0.8429968433721607,0.8218268537522706
WORK,HAG,R0,38,0.07046004938006295,0.03400257776246968,0.1370613850880875,0.16183333799322372,0.06657682624642229,0.042849231094313114,0.002529833431290429,0.17161874433787527,0.9295399506199371,0.8629386149119125,0.8381666620067763
WORK,HAG,R1,38,0.07046004938006295,0.03400257776246968,0.1370613850880875,0.16183333799322372,0.06657682624642229,0.042849231094313114,0.002529833431290429,0.17161874433787527,0.9295399506199371,0.8629386149119125,0.8381666620067763
WORK,HEB,R0,303,0.05511672530311007,0.030825944748521517,0.1704570020425162,0.21427953500585703,0.06770796022860803,0.05088135643282735,0.0,0.25654696153653767,0.9448832746968899,0.8295429979574838,0.7857204649941429
WORK,HEB,R1,303,0.05511672530311007,0.030825944748521517,0.1704570020425162,0.21427953500585703,0.06770796022860803,0.05088135643282735,0.0,0.25654696153653767,0.9448832746968899,0.8295429979574838,0.7857204649941429
WORK,HOS,R0,197,0.052779998627914604,0.023055780231108658,0.1389984160707465,0.1864811853428518,0.058473628103771304,0.040153090292611125,0.0,0.22129537828249435,0.9472200013720854,0.8610015839292535,0.8135188146571481
WORK,HOS,R1,197,0.052779998627914604,0.023055780231108658,0.1389984160707465,0.1864811853428518,0.058473628103771304,0.040153090292611125,0.0,0.22129537828249435,0.9472200013720854,0.8610015839292535,0.8135188146571481
WORK,ISA,R0,1292,0.05629397074559894,0.027788840317642394,0.1556613590945488,0.2203930443072171,0.06690058578492304,0.04719388291120916,0.0,0.33196709462842067,0.9437060292544011,0.8443386409054512,0.7796069556927829
WORK,ISA,R1,1292,0.05629397074559894,0.027788840317642394,0.1556613590945488,0.2203930443072171,0.06690058578492304,0.04719388291120916,0.0,0.33196709462842067,0.9437060292544011,0.8443386409054512,0.7796069556927829
WORK,JAS,R0,108,0.05795030251984257,0.030571168328891007,0.17818028583652812,0.22986685588885708,0.06926837410618573,0.052987703074409656,0.0,0.25671740665343423,0.9420496974801574,0.8218197141634719,0.770133144111143
